lab_ID,field_ID,host_species,age,sampling_date,location,location_notes,lat,long,test_date,sample_ABS,neg_ctrl,S_N_ratio,result,replicate
CO-077,1987-20940,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.36808,0.99258,0.37083,Pos,1
CO-078,1987-22358,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.12074,0.99258,0.12164,Pos,1
CO-079,1987-20949,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.62075,0.99258,0.62538,Neg,1
CO-080,1987-12515,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.17665,0.99258,0.17797,Pos,1
CO-081,1987-22355,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,1.10404,0.99258,1.11228,Neg,1
CO-082,1987-22081,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.80059,0.99258,0.80658,Neg,1
CO-083,1987-20964,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.19609,0.99258,0.19755,Pos,1
CO-084,1987-20967,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.19091,0.99258,0.19233,Pos,1
CO-085,1987-20971,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,1.02084,0.99258,1.02847,Neg,1
CO-086,1987-20662,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.19114,0.99258,0.19257,Pos,1
CO-087,1987-20975,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.86775,0.99258,0.87423,Neg,1
CO-088,1987-20980,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.82475,0.99258,0.83091,Neg,1
CO-089,1987-19409,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.1922,0.99258,0.19364,Pos,1
CO-090,1767-06567,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.65886,0.99258,0.66378,Neg,1
CO-091,1987-20990,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.88215,0.99258,0.88874,Neg,1
CO-092,1987-20994,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.6478,0.99258,0.65264,Neg,1
CO-093,1987-20998,Black Brant,AHY,7/30/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.6328,0.99258,0.63753,Neg,1
CO-094,1987-20887,Black Brant,AHY,7/31/2015,Colville River Delta,,70.4,-150.5,9/23/2015,0.41005,0.99258,0.41311,Pos,1
